year,RegNo,category,income,measure,type
2008,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,481.6177582984662,Mean,Nominal values
2008,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",median_income,382.4260332332329,Median,Nominal values
2008,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_mean_infl,524.7732281435946,Mean,Adjusted to inflation (base: 2010 prices)
2008,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",income_median_infl,416.6934057726009,Median,Adjusted to inflation (base: 2010 prices)
2008,Mtskheta-Mtianeti,mean_income,323.1874372645786,Mean,Nominal values
2008,Mtskheta-Mtianeti,median_income,232.95777885771054,Median,Nominal values
2008,Mtskheta-Mtianeti,income_mean_infl,352.1467218068908,Mean,Adjusted to inflation (base: 2010 prices)
2008,Mtskheta-Mtianeti,income_median_infl,253.83201413549645,Median,Adjusted to inflation (base: 2010 prices)
2009,Kakheti,mean_income,387.17417624712203,Mean,Nominal values
2009,Kakheti,median_income,267.19384247515706,Median,Nominal values
2009,Kakheti,income_mean_infl,414.7029531227361,Mean,Adjusted to inflation (base: 2010 prices)
2009,Kakheti,income_median_infl,286.19180288494886,Median,Adjusted to inflation (base: 2010 prices)
2009,Tbilisi,mean_income,629.6642699753587,Mean,Nominal values
2009,Tbilisi,median_income,440.9950900188492,Median,Nominal values
2009,Tbilisi,income_mean_infl,674.4345265113585,Mean,Adjusted to inflation (base: 2010 prices)
2009,Tbilisi,income_median_infl,472.35063018953866,Median,Adjusted to inflation (base: 2010 prices)
2009,Shida Kartli,mean_income,441.96153174793466,Mean,Nominal values
2009,Shida Kartli,median_income,305.75690658763295,Median,Nominal values
2009,Shida Kartli,income_mean_infl,473.3857876552498,Mean,Adjusted to inflation (base: 2010 prices)
2009,Shida Kartli,income_median_infl,327.49676987401216,Median,Adjusted to inflation (base: 2010 prices)
2009,Kvemo Kartli,mean_income,414.0571604564646,Mean,Nominal values
2009,Kvemo Kartli,median_income,303.81384607292904,Median,Nominal values
2009,Kvemo Kartli,income_mean_infl,443.49736562314655,Mean,Adjusted to inflation (base: 2010 prices)
2009,Kvemo Kartli,income_median_infl,325.41555427912294,Median,Adjusted to inflation (base: 2010 prices)
2009,Samtskhe-Javakheti,mean_income,435.24300619452276,Mean,Nominal values
2009,Samtskhe-Javakheti,median_income,338.0178258288827,Median,Nominal values
2009,Samtskhe-Javakheti,income_mean_infl,466.1895629105186,Mean,Adjusted to inflation (base: 2010 prices)
2009,Samtskhe-Javakheti,income_median_infl,362.05149821225007,Median,Adjusted to inflation (base: 2010 prices)
2009,Adjara A.R.,mean_income,480.5148345204404,Mean,Nominal values
2009,Adjara A.R.,median_income,332.10082839819705,Median,Nominal values
2009,Adjara A.R.,income_mean_infl,514.6802992556007,Mean,Adjusted to inflation (base: 2010 prices)
2009,Adjara A.R.,income_median_infl,355.7137916743048,Median,Adjusted to inflation (base: 2010 prices)
2009,Guria,mean_income,409.39745890130666,Mean,Nominal values
2009,Guria,median_income,311.1065376387681,Median,Nominal values
2009,Guria,income_mean_infl,438.50635094772247,Mean,Adjusted to inflation (base: 2010 prices)
2009,Guria,income_median_infl,333.22676926737773,Median,Adjusted to inflation (base: 2010 prices)
2009,Samegrelo-Zemo Svaneti,mean_income,485.76266724511606,Mean,Nominal values
2009,Samegrelo-Zemo Svaneti,median_income,387.91188537986613,Median,Nominal values
2009,Samegrelo-Zemo Svaneti,income_mean_infl,520.3012622793023,Mean,Adjusted to inflation (base: 2010 prices)
2009,Samegrelo-Zemo Svaneti,income_median_infl,415.4931146951322,Median,Adjusted to inflation (base: 2010 prices)
2009,"Imereti, Racha-Lechkhumi and Kvemo Svaneti",mean_income,506.1792961068974,Mean,Nominal values
